종목명,종목코드,시가총액_억원,시장구분
인카금융서비스,211050,5806,코스닥
위메이드맥스,101730,5772,코스닥
우리기술투자,041190,5771,코스닥
시노펙스,025320,5711,코스닥
메가스터디교육,215200,5709,코스닥
심텍,222800,5699,코스닥
코스메카코리아,241710,5650,코스닥
KODEX 미국30년국채액티브(H),484790,5643,ETF
현대그린푸드,453340,5640,유가증권
네오위즈,095660,5595,코스닥
애경케미칼,161000,5590,유가증권
넥스틴,348210,5563,코스닥
차바이오텍,085660,5558,코스닥
씨아이에스,222080,5548,코스닥
에스피지,058610,5544,코스닥
RFHIC,218410,5535,코스닥
태웅,044490,5502,코스닥
제이알글로벌리츠,348950,5477,유가증권
삼천리,004690,5442,유가증권
서부T&D,006730,5419,코스닥
두산테스나,131970,5363,코스닥
코스모화학,005420,5354,유가증권
제룡전기,033100,5349,코스닥
제주항공,089590,5338,유가증권
JW중외제약,001060,5332,유가증권
피에스케이,319660,5327,코스닥
한화손해보험,000370,5312,유가증권
대한유화,006650,5278,유가증권
삼양사,145990,5260,유가증권
한일홀딩스,003300,5251,유가증권
데브시스터즈,194480,5221,코스닥
KB KIS CD금리투자 ETN,580058,5203,ETN
TIGER 인도니프티50,453870,5202,ETF
현대바이오,048410,5201,코스닥
쎄트렉아이,099320,5196,코스닥
한국쉘석유,002960,5161,유가증권
바이오노트,377740,5154,유가증권
PLUS 머니마켓액티브,477050,5122,ETF
큐리옥스바이오시스템즈,445680,5119,코스닥
티앤엘,340570,5113,코스닥
케이씨텍,281820,5090,유가증권
E1,017940,5083,유가증권
롯데손해보험,000400,5074,유가증권
퍼시스,016800,5066,유가증권
TIGER 미국달러단기채권액티브,329750,5062,ETF
KODEX 국고채3년,114260,5026,ETF
하나머티리얼즈,166090,5024,코스닥
에코프로에이치엔,383310,5013,코스닥
PI첨단소재,178920,5010,유가증권
태광,023160,5003,코스닥
파두,440110,4992,코스닥
SBS,034120,4990,유가증권
TIGER 테슬라채권혼합Fn,447770,4977,ETF
SFA반도체,036540,4975,코스닥
대한해운,005880,4947,유가증권
OCI,456040,4942,유가증권
진에어,272450,4912,유가증권
KODEX 26-12 회사채(AA-이상)액티브,473290,4901,ETF
엠씨넥스,097520,4899,유가증권
인텔리안테크,189300,4884,코스닥
감성코퍼레이션,036620,4868,코스닥
대신증권우,003545,4862,유가증권
KCC글라스,344820,4855,유가증권
바이오다인,314930,4849,코스닥
컴투스,078340,4840,코스닥
웹젠,069080,4827,코스닥
LF,093050,4798,유가증권
일진하이솔루스,271940,4797,유가증권
TIGER 우량회사채액티브,438330,4785,ETF
풀무원,017810,4746,유가증권
KIWOOM 국고채10년,148070,4724,ETF
KODEX 미국AI전력핵심인프라,487230,4724,ETF
TIGER 200 IT,139260,4718,ETF
TIGER 미국달러SOFR금리액티브(합성),456610,4716,ETF
CJ4우(전환),00104K,4713,유가증권
고려제강,002240,4701,유가증권
TIGER 미국테크TOP10타겟커버드콜,474220,4692,ETF
신도리코,029530,4692,유가증권
아모레퍼시픽우,090435,4688,유가증권
화승엔터프라이즈,241590,4684,유가증권
유바이오로직스,206650,4684,코스닥
풍산홀딩스,005810,4671,유가증권
이뮨온시아,424870,4658,코스닥
인벤티지랩,389470,4589,코스닥
SPC삼립,005610,4582,유가증권
포스코엠텍,009520,4581,코스닥
현대무벡스,319400,4543,코스닥
아스테라시스,450950,4542,코스닥
신라젠,215600,4538,코스닥
가온칩스,399720,4535,코스닥
남양유업,003920,4519,유가증권
후성,093370,4499,유가증권
한텍,098070,4493,코스닥
콜마비앤에이치,200130,4492,코스닥
제주반도체,080220,4491,코스닥
동아에스티,170900,4489,유가증권
에스티큐브,052020,4487,코스닥
삼성 레버리지 WTI원유 선물 ETN,530031,4472,ETN
TCC스틸,002710,4464,유가증권
RISE KIS국고채30년Enhanced,385560,4454,ETF
지엔씨에너지,119850,4441,코스닥
쏘카,403550,4434,유가증권
KODEX 200타겟위클리커버드콜,498400,4423,ETF
한국금융지주우,071055,4423,유가증권
NICE,034310,4422,유가증권
테스,095610,4418,코스닥
KODEX 코스피,226490,4418,ETF
케이엠더블유,032500,4404,코스닥
티에스이,131290,4402,코스닥
KODEX 인도Nifty50,453810,4390,ETF
아이센스,099190,4385,코스닥
성우하이텍,015750,4384,코스닥
티웨이항공,091810,4383,유가증권
이녹스첨단소재,272290,4379,코스닥
DS단석,017860,4378,유가증권
동국제강,460860,4370,유가증권
KODEX 미국반도체,390390,4360,ETF
한국기업평가,034950,4359,코스닥
KODEX 자동차,091180,4359,ETF
미코,059090,4354,코스닥
ACE 200,105190,4351,ETF
TIMEFOLIO 글로벌AI인공지능액티브,456600,4344,ETF
코엔텍,029960,4343,코스닥
아세아시멘트,183190,4340,유가증권
원익QnC,074600,4340,코스닥
클로봇,466100,4321,코스닥
현대차증권,001500,4310,유가증권
세아제강,306200,4308,유가증권
큐로셀,372320,4297,코스닥
코람코라이프인프라리츠,357120,4297,유가증권
RISE 미국30년국채엔화노출(합성 H),472870,4293,ETF
코오롱,002020,4293,유가증권
TIGER 27-04회사채(A+이상)액티브,480260,4291,ETF
한세실업,105630,4288,유가증권
글로벌텍스프리,204620,4273,코스닥
신성통상,005390,4261,유가증권
명신산업,009900,4255,유가증권
스틱인베스트먼트,026890,4247,유가증권
동화기업,025900,4247,코스닥
바이오플러스,099430,4241,코스닥
솔트룩스,304100,4228,코스닥
삼현,437730,4227,코스닥
디아이,003160,4222,유가증권
TIGER 미국S&P500(H),448290,4215,ETF
삼성FN리츠,448730,4207,유가증권
KODEX 미국나스닥100(H),449190,4202,ETF
콜마홀딩스,024720,4160,유가증권
바이오니아,064550,4135,코스닥
비에이치,090460,4125,유가증권
KIWOOM 종합채권(AA-이상)액티브,454780,4124,ETF
원익홀딩스,030530,4117,코스닥
이엔에프테크놀로지,102710,4115,코스닥
드림텍,192650,4106,유가증권
골프존,215000,4104,코스닥
서희건설,035890,4088,코스닥
네오셈,253590,4080,코스닥
YG PLUS,037270,4079,유가증권
KODEX 국고채10년액티브,471230,4064,ETF
쏠리드,050890,4063,코스닥
대명에너지,389260,4058,코스닥
KB스타리츠,432320,4057,유가증권
유진로봇,056080,4051,코스닥
유티아이,179900,4039,코스닥
맵스리얼티1,094800,4038,유가증권
한국비엔씨,256840,4028,코스닥
에코앤드림,101360,4020,코스닥
제우스,079370,3998,코스닥
동운아나텍,094170,3992,코스닥
KODEX 미국배당커버드콜액티브,441640,3989,ETF
영진약품,003520,3969,유가증권
TIGER 2차전지소재Fn,462010,3963,ETF
애경산업,018250,3961,유가증권
넥스틸,092790,3950,유가증권
BGF,027410,3944,유가증권
세아홀딩스,058650,3944,유가증권
성일하이텍,365340,3927,코스닥
신대양제지,016590,3917,유가증권
대한제강,084010,3913,유가증권
더본코리아,475560,3883,유가증권
큐렉소,060280,3858,코스닥
케이아이엔엑스,093320,3855,코스닥
에이프릴바이오,397030,3848,코스닥
수산인더스트리,126720,3836,유가증권
KODEX 미국AI테크TOP10타겟커버드콜,483280,3835,ETF
서울반도체,046890,3831,코스닥
조광피혁,004700,3830,유가증권
신한 레버리지 WTI원유 선물 ETN(H),500019,3810,ETN
코미팜,041960,3803,코스닥
흥아해운,003280,3796,유가증권
나이벡,138610,3784,코스닥
KIWOOM 200,069660,3782,ETF
퓨쳐켐,220100,3775,코스닥
파트론,091700,3773,코스닥
에프에스티,036810,3768,코스닥
TIGER 미국나스닥100커버드콜(합성),441680,3759,ETF
바디텍메드,206640,3751,코스닥
HL홀딩스,060980,3729,유가증권
지누스,013890,3725,유가증권
넥스트바이오메디컬,389650,3718,코스닥
큐리언트,115180,3710,코스닥
신세계인터내셔날,031430,3704,유가증권
ACE 미국S&P500채권혼합액티브,438080,3699,ETF
RISE 200위클리커버드콜,475720,3697,ETF
한전산업,130660,3690,유가증권
KODEX 미국달러SOFR금리액티브(합성),455030,3684,ETF
TIGER CD금리플러스액티브(합성),499660,3676,ETF
사조대림,003960,3666,유가증권
셀바스AI,108860,3666,코스닥
오름테라퓨틱,475830,3664,코스닥
대상홀딩스,084690,3654,유가증권
덕산테코피아,317330,3639,코스닥
인화정공,101930,3635,코스닥
남해화학,025860,3632,유가증권
우리기술,032820,3606,코스닥
한섬,020000,3597,유가증권
RISE 단기통안채,196230,3590,ETF
엘브이엠씨홀딩스,900140,3587,유가증권
씨앤씨인터내셔널,352480,3580,코스닥
천보,278280,3580,코스닥
부국증권,001270,3567,유가증권
HANARO 200,293180,3566,ETF
선익시스템,171090,3557,코스닥
코오롱생명과학,102940,3553,코스닥
스피어,347700,3550,코스닥
이아이디,093230,3541,유가증권
KODEX 선진국MSCI World,251350,3540,ETF
TIGER 은행고배당플러스TOP10,466940,3537,ETF
현대퓨처넷,126560,3526,유가증권
PLUS 종합채권(AA-이상)액티브,451000,3513,ETF
KODEX 27-12 회사채(AA-이상)액티브,0007F0,3505,ETF
제주은행,006220,3504,유가증권
농심홀딩스,072710,3502,유가증권
SGC에너지,005090,3487,유가증권
현대코퍼레이션,011760,3486,유가증권
일동제약,249420,3485,유가증권
지씨셀,144510,3484,코스닥
엔솔바이오사이언스,140610,3478,코넥스
엔젤로보틱스,455900,3477,코스닥
노머스,473980,3464,코스닥
하이록코리아,013030,3461,코스닥
나우로보틱스,459510,3432,코스닥
유나이티드제약,033270,3414,유가증권
현대차3우B,005389,3407,유가증권
갤럭시아머니트리,094480,3389,코스닥
제이에스코퍼레이션,194370,3383,유가증권
켐트로닉스,089010,3381,코스닥
휴온스,243070,3378,코스닥
인바디,041830,3370,코스닥
